image,xmin_inside_plate,xmin_outside_plate,ymin_inside_plate,ymin_outside_plate,xmax_inside_plate,xmax_outside_plate,ymax_inside_plate,ymax_outside_plate
23903524000.png,0.6057993730407519,0.11833855799373036,0.3307210031347961,0.32210031347962365,0.8315047021943572,0.3793103448275861,0.47727272727272724,0.4913793103448275
84362203700.png,0.06347962382445141,0.634796238244514,0.6990595611285266,0.7343260188087773,0.1896551724137931,0.7547021943573666,0.8926332288401252,0.9561128526645766
27748582800.png,0.5195924764890282,0.12460815047021943,0.25470219435736674,0.26018808777429464,0.7390282131661441,0.37539184952978055,0.4913793103448275,0.5446708463949843
56692174400.png,0.10815047021943573,0.6598746081504702,0.5336990595611285,0.5156739811912225,0.3644200626959247,0.9388714733542318,0.8346394984326019,0.8597178683385579
68974838000.png,0.5164576802507836,0.18025078369905956,0.2993730407523511,0.286833855799373,0.7163009404388714,0.39733542319749215,0.5086206896551724,0.5274294670846393
111522528100.png,0.6998432601880876,0.036050156739811906,0.5297805642633229,0.561128526645768,0.9890282131661441,0.3463949843260188,0.8753918495297806,0.9396551724137929
33426201200.png,0.20924764890282127,0.7311912225705328,0.5133228840125391,0.4521943573667711,0.44592476489028204,0.982758620689655,0.7915360501567398,0.762539184952978
104075554600.png,0.5705329153605015,0.13557993730407522,0.25783699059561127,0.2311912225705329,0.7766457680250782,0.35736677115987453,0.4929467084639498,0.49451410658307204
62246170600.png,0.24137931034482757,NA,0.6763322884012537,NA,0.5235109717868338,NA,0.9772727272727271,NA
101542069200.png,0.1567398119122257,0.6199059561128526,0.22727272727272727,0.16144200626959243,0.4278996865203761,0.9216300940438871,0.5211598746081505,0.506269592476489
104097349400.png,0.5681818181818181,0.13557993730407522,0.5634796238244514,0.6010971786833855,0.7766457680250782,0.35501567398119116,0.7978056426332287,0.8581504702194356
59074643400.png,0.20846394984326014,0.7907523510971787,0.7609717868338557,0.7437304075235109,0.3942006269592476,0.9890282131661441,0.8949843260188086,0.9020376175548588
